@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
9380,'2019/09/19 12:27:46:621',43,479.476868,180.245453,32.208466,465.903503,180.321198,25.187105,477.301758,172.92981,25.276743,501.201172,174.872986,22.635994,520.528442,181.434662,19.503498,0,0,0
9381,'2019/09/19 12:27:46:672',43,475.177368,193.786469,30.764959,461.350037,194.281586,25.972265,483.928162,189.317078,27.954454,513.394226,188.367004,25.374416,535.988525,194.092377,21.731026,0,0,0
9382,'2019/09/19 12:27:46:722',43,466.992401,210.410645,28.973774,463.846771,214.034332,26.557978,490.328674,209.179443,28.046244,527.871338,208.011993,25.988714,547.448792,211.642334,21.507301,0,0,0
9383,'2019/09/19 12:27:46:774',43,463.792542,221.576691,27.41662,464.437988,227.833374,25.867233,488.31311,220.587494,26.543764,536.683838,221.30423,25.765045,553.393127,223.764923,20.934168,0,0,0
9384,'2019/09/19 12:27:46:820',43,467.021271,233.953888,25.959429,473.732391,244.622589,25.4692,501.929077,236.827087,26.037285,551.824463,234.808441,25.085804,563.115601,236.788544,20.079268,0,0,0
9385,'2019/09/19 12:27:46:870',43,466.021362,239.297363,24.367424,474.91925,254.149506,24.598589,504.640198,246.200775,24.723995,557.440918,244.002701,24.4706,567.726563,247.208572,19.523609,0,0,0
9386,'2019/09/19 12:27:46:919',43,467.282959,245.68042,23.322842,477.184357,263.974365,23.878262,508.813782,256.45752,23.799381,561.332886,252.973923,24.028959,572.153015,256.619629,19.16098,0,0,0
9387,'2019/09/19 12:27:46:969',43,464.022003,258.761658,22.195826,476.241943,281.193268,22.750797,508.942993,273.662903,22.843218,559.457642,268.513062,23.60659,571.602539,269.708923,18.720991,0,0,0
9388,'2019/09/19 12:27:47:021',43,462.872925,269.06189,21.756681,476.378693,294.432495,22.551458,508.583801,286.005188,22.478373,559.64563,282.133545,23.095989,571.890137,283.870422,18.187168,0,0,0
9389,'2019/09/19 12:27:47:069',43,455.976379,280.621033,21.351715,471.042542,306.35144,22.147469,505.188507,299.391266,22.313782,554.971252,295.346802,22.866005,567.604187,296.449463,17.967964,0,0,0
9390,'2019/09/19 12:27:47:121',43,448.164978,289.012939,20.947683,463.29126,314.818604,21.911325,498.380615,308.802673,22.30027,547.603027,305.02417,22.991224,561.52179,305.712433,18.154633,0,0,0
9391,'2019/09/19 12:27:47:173',43,446.795563,295.526978,21.277813,462.818085,323.690979,22.438919,497.327759,316.372345,22.557539,545.775085,312.902954,22.950386,559.258301,313.046326,18.111837,0,0,0
9392,'2019/09/19 12:27:47:221',43,448.254517,298.372955,21.600378,463.894684,328.053711,22.731251,499.206543,320.843262,22.720375,545.956726,316.874207,22.825279,559.068665,316.643066,17.940285,0,0,0
9393,'2019/09/19 12:27:47:270',43,452.337646,300.077087,21.796936,466.934418,331.441528,22.909725,502.369476,323.383728,22.814972,548.408569,319.299866,22.730204,561.52832,318.93396,17.873795,0,0,0
9394,'2019/09/19 12:27:47:320',43,461.589905,301.727295,21.947214,474.028473,334.351044,23.106415,511.217163,325.862244,22.846205,556.391602,321.585999,22.566111,569.458557,321.384186,17.701275,0,0,0
9395,'2019/09/19 12:27:47:371',43,484.025085,300.4953,20.327154,486.795654,335.561035,23.312866,526.649658,328.03363,22.755978,570.740051,323.504456,22.134125,582.257019,323.734802,17.177696,0,0,0
9396,'2019/09/19 12:27:47:423',43,499.718079,304.886353,19.966551,501.494171,341.564911,24.23748,552.291382,336.861694,25.449518,584.952332,328.980133,22.820467,596.875488,328.853363,17.855022,0,0,0
9397,'2019/09/19 12:27:47:474',43,513.91803,306.196594,20.003336,523.233887,343.178955,25.98358,570.628784,336.874695,25.44998,599.152466,329.656311,22.225805,610.09436,329.710266,17.157726,0,0,0
9398,'2019/09/19 12:27:47:524',43,515.558472,307.741882,20.562401,532.614929,344.943359,26.687408,575.235962,336.483643,25.97753,599.912903,328.526611,22.536242,615.194336,328.746887,17.560001,0,0,0
9399,'2019/09/19 12:27:47:577',43,522.017944,307.24176,20.864147,541.743469,343.26825,27.194252,581.31311,334.226318,26.021303,605.711426,327.749298,22.408161,620.177368,328.054047,17.240326,0,0,0
9400,'2019/09/19 12:27:47:624',43,513.685669,308.602722,21.119892,534.695313,341.564575,27.177586,574.101501,334.065063,26.476192,600.612793,327.934692,23.041634,617.044189,327.984436,17.967045,0,0,0
9401,'2019/09/19 12:27:47:674',43,508.184967,308.2341,21.087578,530.167969,339.485596,27.254705,568.286621,332.203003,26.594299,596.907715,327.026917,23.293531,613.539917,327.445557,18.284363,0,0,0
9402,'2019/09/19 12:27:47:724',43,497.591339,307.153503,21.120289,519.562012,336.318085,26.830488,552.362122,329.468994,26.122192,586.65271,326.175476,23.622265,603.737183,326.258545,18.659931,0,0,0
9403,'2019/09/19 12:27:47:775',43,485.448334,306.816528,20.76053,504.645477,335.232605,26.242561,537.67627,329.261292,25.912079,574.519714,326.564453,23.804041,592.515991,326.427185,18.921202,0,0,0
9404,'2019/09/19 12:27:47:824',43,470.742401,306.584991,21.009388,489.946167,335.814758,26.235786,522.443054,329.403503,25.839483,560.450928,326.48111,23.867821,576.975464,325.812073,18.93885,0,0,0
9405,'2019/09/19 12:27:47:875',43,454.197784,303.797058,20.684671,471.672485,333.792145,25.911692,504.208588,326.91214,25.47942,543.589722,323.469757,23.901514,559.690308,323.319702,18.957489,0,0,0
9406,'2019/09/19 12:27:47:924',43,438.607117,300.622437,20.550501,456.077026,330.423523,25.518156,488.70517,323.498535,25.147598,528.849731,319.678528,23.75988,544.976501,319.869751,18.844,0,0,0
9407,'2019/09/19 12:27:47:975',43,424.149597,299.191711,20.516447,440.613678,328.599792,25.049395,473.101349,321.801819,24.811256,514.834045,318.304688,23.838558,531.984741,318.55011,18.982441,0,0,0
9408,'2019/09/19 12:27:48:025',43,404.606903,297.647247,20.357311,423.393127,327.060059,24.318188,454.800507,319.317657,24.22187,497.379517,315.061279,23.672367,515.846069,314.170166,18.90815,0,0,0
9409,'2019/09/19 12:27:48:073',43,387.587708,295.22757,20.049089,405.105743,324.167175,23.756992,436.765778,316.529968,23.725063,480.697266,313.134369,23.420261,499.611694,312.143982,18.681067,0,0,0
9410,'2019/09/19 12:27:48:122',43,374.729462,294.762848,19.787443,392.455811,322.544128,23.315767,424.054016,314.742462,23.386843,468.793396,311.4646,23.353239,488.541321,310.262207,18.663784,0,0,0
9411,'2019/09/19 12:27:48:172',43,357.740326,291.383301,18.649473,373.55246,318.185455,22.465742,406.046844,310.583344,22.597879,451.732147,308.422058,22.850183,472.426025,307.807068,18.167671,0,0,0
9412,'2019/09/19 12:27:48:222',43,344.207336,294.99353,19.061607,361.40921,321.433105,22.358412,393.728638,313.177124,22.70248,438.890656,310.134399,23.03339,460.954407,308.220642,18.504099,0,0,0
9413,'2019/09/19 12:27:48:272',43,329.340698,293.764404,18.344406,345.409637,317.513458,21.718237,377.979614,309.648315,22.192257,423.239319,307.035736,22.650211,447.262024,306.013519,18.267525,0,0,0
9414,'2019/09/19 12:27:48:323',43,313.833496,293.831482,18.055271,331.865875,316.434998,21.217855,363.694885,308.163391,21.825918,408.684723,305.362946,22.258667,433.59024,303.688599,17.95615,0,0,0
9415,'2019/09/19 12:27:48:372',43,295.806274,293.440125,17.602055,314.554382,313.400269,20.803701,345.881653,305.1297,21.468601,391.309174,302.82019,21.886957,416.965607,301.04715,17.639431,0,0,0
9416,'2019/09/19 12:27:48:423',43,280.059174,294.68396,17.599789,299.619812,313.051147,20.687536,330.202332,304.467041,21.474939,375.818115,302.114288,22.009586,402.296356,299.566895,17.865459,0,0,0
9417,'2019/09/19 12:27:48:475',43,262.749969,296.868591,17.148174,282.077972,311.93042,20.148138,312.272827,303.160461,20.982821,358.523865,301.301025,21.643251,385.657959,298.280426,17.552166,0,0,0
9418,'2019/09/19 12:27:48:526',43,248.981201,299.032806,17.436092,267.392639,312.583466,20.048983,297.177673,303.420776,20.930969,344.239624,302.033936,21.533346,370.904602,297.874603,17.457905,0,0,0
9419,'2019/09/19 12:27:48:576',43,234.57254,301.324799,17.412678,250.179886,313.827148,19.910652,279.646057,304.159729,20.860308,326.475189,302.458008,21.65386,354.0242,298.055756,17.706657,0,0,0
9420,'2019/09/19 12:27:48:626',43,219.170883,301.259827,16.693726,235.821579,312.551453,18.968571,265.046814,301.530151,19.828299,310.679077,298.183075,20.508968,333.53299,290.15686,16.005993,0,0,0
9421,'2019/09/19 12:27:48:676',43,210.875443,302.903687,16.968063,225.657501,314.651611,19.200886,256.862366,303.759125,20.258703,299.681152,299.875427,20.544472,324.050903,291.566101,15.991364,0,0,0
9422,'2019/09/19 12:27:48:726',43,202.699753,303.632629,16.935394,216.742523,315.228668,19.14019,247.434769,303.823608,20.237892,288.756805,298.919495,20.274929,314.554901,290.525635,15.821316,0,0,0
9423,'2019/09/19 12:27:48:777',43,194.906784,302.344727,16.942039,208.353729,313.478455,18.990738,239.01413,302.021362,19.955414,280.86438,297.032867,19.772291,304.68576,287.834198,15.103336,0,0,0
9424,'2019/09/19 12:27:48:826',43,190.975662,302.179718,17.20575,203.128723,312.636658,19.025629,233.298874,301.28418,19.967091,275.380737,295.959961,19.767294,299.56546,286.470001,15.179504,0,0,0
9425,'2019/09/19 12:27:48:877',43,188.791733,299.741089,16.828426,199.52536,310.134521,18.669336,229.390182,299.104858,19.710258,271.466675,293.070251,19.465611,296.017487,283.776917,14.868225,0,0,0
9426,'2019/09/19 12:27:48:926',43,188.059479,297.360962,16.825485,197.876114,308.130127,18.740261,227.627487,297.239807,19.699261,268.941956,290.647034,19.499144,294.8125,282.152893,14.958916,0,0,0
